Priority,Complexity Assessment,ASR-L version,Change Type (from KDDI CSL-M),Justification,Field Col #,KDDI Field #,KDDI Field Name,Field Name,Field description,Unit,Data format,Min value,Max value,Sample Value,Source Event,Field(s),ASN1,Aggregation/Formula/Note,Other notes/comments,Use Case
0,0,0.9,-,,11,2,S-TMSI,sTMSI,"STMSI. Field is populated at RRC Connection time, so will not be populated in handovers, or reestablishments",,Octet String,0x0000000000,0xffffffffff,0xa6f79e1e2b,INTERNAL_PROC_RRC_CONN_SETUP,"EVENT_PARAM_INITIAL_UE_IDENTITY
EVENT_PARAM_INITIAL_UE_IDENTITY_TYPE",N/A,IF EVENT_PARAM_INITIAL_UE_IDENTITY_TYPE <> random,,"Basic observability, Session Trace"
2,5,2.0,"New field, Subscriber ID",Enrich use cases,12,,,IMSI,IMSI,,64 bit,-,-,310150123456789,-,MMESignallingData.IMSI,N/A,From MME control plane signalling,,"Basic observability, Session Trace"
2,5,2.0,"New field, IMEISV from MME",Enrich use cases,13,,,IMEISV,IMEISV,,Long Integer,0,4294967295,49015420323751,-,MMESignallingData.IMEISV,N/A,From MME control plane signalling,,Terminal Analytics
2,5,2.0,"New field, IMEI TAC from MME",Enrich use cases,14,,,IMEITAC,IMEI Type Approval Code,,Unsigned Integer (32 bit),0,99999999,49015420,-,First 8 digits( MMESignallingData.IMEISV ),N/A,From MME control plane signalling,,Terminal Analytics
0,1,0.9,"Made 3GPP Compliant as a default output, and push KDDI specific to specific output encoder",Other customers will expect 3GPP format,15,3,MME UE S1 AP ID,mmeUES1APID,The unique identifer for the UE within the MME. ,,Unsigned Integer (32 bit),0,304035759,304035759,INTERNAL_PROC_S1_SIG_CONN_SETUP INTERNAL_PROC_HO_X2_PREP_IN INTERNAL_PROC_HO_X2_EXEC_IN INTERNAL_PROC_HO_S1_PREP_IN X2_FETCH_CONTEXT_RESPONSE,EVENT_PARAM_MMES1APID,N/A,,For X2_FETCH_CONTEXT_RESPONSE ensure EVENT_PARAM_MESSAGE_DIRECTION=EVENT_VALUE_RECEIVED,"Basic observability, Session Trace"
0,1,1.0,,,16,,,enbUES1APID,The unique identifer for the UE within the eNodeB. ,,Unsigned Integer (32 bit),0,304035759,304035121,INTERNAL_PROC_S1_SIG_CONN_SETUP INTERNAL_PROC_HO_X2_PREP_IN INTERNAL_PROC_HO_X2_EXEC_IN INTERNAL_PROC_HO_S1_PREP_IN X2_FETCH_CONTEXT_RESPONSE,EVENT_PARAM_ENBS1APID,N/A,,,
0,1,0.9,"Made 3GPP Compliant as a default output, and push KDDI specific to specific output encoder",Other customers will expect 3GPP format,17,4,GUMMEI,GUMMEI,Globally unique MME Identifier. ,,48 bit,0,281474976710655,281474976710655,INTERNAL_PROC_S1_SIG_CONN_SETUP INTERNAL_PROC_HO_X2_PREP_IN INTERNAL_PROC_HO_S1_PREP_IN X2_FETCH_CONTEXT_RESPONSE,EVENT_PARAM_GUMMEI ,N/A,,For X2_FETCH_CONTEXT_RESPONSE ensure EVENT_PARAM_MESSAGE_DIRECTION=EVENT_VALUE_RECEIVED,"Basic observability, Session Trace"
1,0,1.0,"New field, all existing events",Unique reference within eNB,18,,,racUEReference,"RAC UE reference, unique connection entity within an eNodeB, provided for troubleshooting purposes",,Unsigned Integer (32 bit),0,304035759,251662483,ANY,EVENT_PARAM_RAC_UE_REFERENCE,N/A,,,Basic observability
0,0,0.9,,,19,5,Node ID,eNodeBID,eNodeB Identity,,Unsigned Integer (32 bit),0,1048575,34242,ANY,EVENT_PARAM_GLOBAL_CELL_ID,N/A,LEFT_20BITS(),," Basic observability, Session Trace"
3,0,1.0,Filter out for CSL-M,Enable TA-based analytics,20,,,trackingAreaID,Tracking Area indentity (PLMN + Tracking Area Code),,Unsigned Integer (32 bit),0,67108863 ,121120,N/A,N/A,N/A,From Network Topology,," Basic observability, Session Trace"
2,0,1.0,,,21,,,downlinkUEAggMaxBitRate,Downlink UE Aggregate Maximum Bit Rate,,Long Integer,0,4294967295,7500000,S1_INITIAL_CONTEXT_SETUP_REQUEST S1_HANDOVER_REQUEST X2_HANDOVER_REQUEST X2_FETCH_CONTEXT_RESPONSE,EVENT_PARAM_L3MESSAGE_LENGTH EVENT_PARAM_L3MESSAGE_CONTENTS,UEAggregateMaximumBitrate.uEaggregateMaximumBitRateDL,,,
2,0,1.0,,,22,,,uplinkUEAggMaxBitRate,Uplink UE Aggregate Maximum Bit Rate,,Long Integer,0,4294967295,7500000,S1_INITIAL_CONTEXT_SETUP_REQUEST S1_HANDOVER_REQUEST X2_HANDOVER_REQUEST X2_FETCH_CONTEXT_RESPONSE,EVENT_PARAM_L3MESSAGE_LENGTH EVENT_PARAM_L3MESSAGE_CONTENTS,UEAggregateMaximumBitrate.uEaggregateMaximumBitRateUL,,,
0,1,0.9,Millisecs added to TS. The milliseconds will have to be chopped off for KDDI.,"Millisecs needed for granular chronological view, many events are happening inside the same second.",23,19,Connection Date Time,connectionDateTime,Time of radio connection setup. Timestamp is in Coordinated Universal Time (UTC),time,String,-,-,20140101235959.019,INTERNAL_PROC_RRC_CONN_SETUP INTERNAL_PROC_HO_X2_PREP_IN INTERNAL_PROC_HO_S1_PREP_IN INTERNAL_PROC_RRC_CONNECTION_RE_ESTABLISHMENT,TIMESTAMP fields,N/A,,,Basic observability
0,1,0.9,Millisecs added to TS. The milliseconds will have to be chopped off for KDDI.,"Millisecs needed for granular chronological view, many events are happening inside the same second.",24,20,DRB (Data Radio Bearer) Setup Time,dataRadioBearerSetupTime,Time of first data radio bearer setup. Timestamp is in Coordinated Universal Time (UTC),time,String,-,-,20140101235959.838,INTERNAL_PROC_INITIAL_CTXT_SETUP INTERNAL_PROC_HO_X2_PREP_IN INTERNAL_PROC_HO_S1_PREP_IN INTERNAL_PROC_RRC_CONNECTION_RE_ESTABLISHMENT,TIMESTAMP fields,N/A,,,Basic observability
0,0,0.9,,,25,21,Connection - Cell ID (Sector ID),connectionCellSector,Sector the radio connection occurred in,,Unsigned Integer (16 bit),0,255,54,INTERNAL_PROC_RRC_CONN_SETUP INTERNAL_PROC_HO_X2_PREP_IN INTERNAL_PROC_HO_S1_PREP_IN X2_FETCH_CONTEXT_RESPONSE,EVENT_PARAM_GLOBAL_CELL_ID,N/A,RIGHT_8BITS(),," Basic observability, Session Trace, "
0,1,0.9,"Made 3GPP Compliant as a default output, and push KDDI specific to specific output encoder",Other customers will expect 3GPP format,26,22,Connection - Cell ID (CGI),connectionCellGCI,Cell (CGI) the radio connection occurred in. ,,52 bit,0,4503599627370490,4503599627370490,S1_INITIAL_UE_MESSAGE INTERNAL_PROC_RRC_CONN_SETUP S1_HANDOVER_REQUEST X2_HANDOVER_REQUEST X2_FETCH_CONTEXT_RESPONSE,EVENT_PARAM_GLOBAL_CELL_ID,N/A,"EVENT_PARAM_MESSAGE_DIRECTION = EVENT_VALUE_RECEIVED for S1 and X2 events Note that RRC Connection does not contain have full info, but should be populated early in call flows and overwritten by other events later",," Basic observability, Session Trace, "
0,2,0.9,,,27,23,Connection - Cell ID (PCI),connectionCellPCI,Cell (PCI) the radio connection occurred in ,,Unsigned Integer (16 bit),0,503,65,N/A,N/A,N/A,1. Lookup topology using EGCI to get cell object (FDD or TDD) 2. Compute PCI = 3 * cell.PhysicalLayerCellIdGroup + cell.PhysicalLayerSubCellId,," Basic observability, Session Trace, "
0,2,0.9,,,28,24,Connection - BAND Class,connectionBandClass,Frequency band class used by the connection,,Unsigned Integer (16 bit),1,64,17,S1_INITIAL_CONTEXT_SETUP_REQUEST S1_HANDOVER_REQUEST X2_HANDOVER_REQUEST X2_FETCH_CONTEXT_RESPONSE,EVENT_PARAM_L3MESSAGE_LENGTH EVENT_PARAM_L3MESSAGE_CONTENTS,rf-Parameters.supportedBandListEUTRA,"Primary frequency band should be selected, but UE may not support it. Each RBS may (or may not) support MFBI, if it does secondary frequency bands are checked for compatibility ",," Basic observability, Session Trace, "
0,0,0.9,,,29,,TTI Bundling Mode,connectionTTIBundlingMode,UE TTI bundling mode,,Unsigned Integer (16 bit),0,1,0,INTERNAL_PROC_UE_CTXT_RELEASE,EVENT_PARAM_TTI_BUNDLING_MODE,EVENT_PARAM_TTI_BUNDLING_MODE,,," Basic observability, Session Trace, "
0,2,0.9,Leave out of global session record?,"Leave in place to support compatability with KDDI, but this is not useful at session level - really needs to be a bearer level.",30,25,Connection - Upper Level Device Location Information,connectionIPAddressSGW,SGW IP address of first bearer,,String,-,-,IPv4: 10.2.3.4,S1_INITIAL_CONTEXT_SETUP_REQUEST S1_HANDOVER_REQUEST X2_HANDOVER_REQUEST X2_FETCH_CONTEXT_RESPONSE S1_PATH_SWITCH_REQUEST_ACKNOWLEDGE,E-RABs To Be Setup List.Transport Layer Address,E-RABs To Be Setup List.Transport Layer Address,Can be either IPv6 or IPv4 address Reassign if the value changes in S1_PATH_SWITCH_ACKNOWLEDGE (i.e. change of SGW),," Basic observability, Session Trace, "
0,1,0.9,,,31,26,Connection - QCI,connectionQCIFirstDRB,QCI assigned to the first data radio bearer created.,,Unsigned Integer (16 bit),0,255,6,INTERNAL_PROC_INITIAL_CTXT_SETUP INTERNAL_PROC_HO_X2_PREP_IN INTERNAL_PROC_HO_S1_PREP_IN X2_FETCH_CONTEXT_RESPONSE,EVENT_ARRAY_ERAB_SETUP_REQ_QCI EVENT_ARRAY_ERAB_SETUP_SUCC_ACC_TYPE EVENT_ARRAY_ERAB_HO_EXEC_IN_QCI EVENT_PARAM_PROC_HO_EXEC_IN_RESULT List.e-RAB-Level-QoS-Parameters.qCI,EVENT_ARRAY_ERAB_SETUP_REQ_QCI EVENT_ARRAY_ERAB_SETUP_SUCC_ACC_TYPE EVENT_ARRAY_ERAB_HO_EXEC_IN_QCI EVENT_PARAM_PROC_HO_EXEC_IN_RESULT List.e-RAB-Level-QoS-Parameters.qCI,EVENT_PARAM_MESSAGE_DIRECTION=EVENT_VALUE_RECEIVED,," Basic observability, Session Trace, "
0,2,0.9,,,32,27,Connection - Round Trip Delay,connectionDistanceFromAntenna,"Distance from antenna at initial context setup, handover, or RRC reestablishment",,"Double (32 bit), 2 decimal place precision",0.00,100000.00,625.25,INTERNAL_PROC_INITIAL_CTXT_SETUP INTERNAL_PROC_HO_X2_EXEC_IN INTERNAL_PROC_HO_S1_EXEC_IN INTERNAL_PROC_RRC_CONNECTION_RE_RESTABLISHMENT,EVENT_PARAM_TA,EVENT_PARAM_TA,"EVENT_PARAM_TA * (3 * Math.pow(10,8)) / (2 * (2048/15000))",," Basic observability, Session Trace, Dropped Call Analytics, Blocked Call Analytics, Geolocation"
1,2,1.0,"New field, existing event",Enable Access latency analytics,33,,,rrcConnectTime,"Time taken for RRC Connection procedure, in milliseconds. Not applicable if session does not involve a RRC Connection",ms,Unsigned Integer (32 bit),0,4294967295,2000,INTERNAL_PROC_RRC_CONN_SETUP,STOP - START timestamps,STOP - START timestamps,,," Basic observability, Session Trace, Access Latency Analysis"
1,2,1.0,"New field, existing event",Enable Access latency analytics,34,,,s1SigConnectTime,"Time taken for S1 Signalling Connection procedure, in milliseconds . Not applicable if session does not involve a RRC Connection",ms,Unsigned Integer (32 bit),0,4294967295,2342,INTERNAL_PROC_S1_SIG_CONN_SETUP,STOP - START timestamps,STOP - START timestamps,,," Basic observability, Session Trace, Access Latency Analysis"
1,2,1.0,"New field, existing event",Enable Access latency analytics,35,,,initCtxtSetupTime,"Time taken for Initial Context Setup procedure, in milliseconds. Not applicable if session does not involve a RRC Connection",ms,Unsigned Integer (32 bit),0,4294967295,7541,INTERNAL_PROC_INITIAL_CTXT_SETUP,STOP - START timestamps,STOP - START timestamps,,," Basic observability, Session Trace, Access Latency Analysis"
1,2,1.0,"New field, existing event",Enable Access latency analytics,36,,,rrcRestabTime,"Time taken for RRC Connection procedure, in milliseconds. Not applicable if session does not involve a RRC Reestablishment",ms,Unsigned Integer (32 bit),0,4294967295,7541,INTERNAL_PROC_RRC_CONNECTION_RE_RESTABLISHMENT,STOP - START timestamps,STOP - START timestamps,,," Basic observability, Session Trace, Access Latency Analysis"
1,2,1.0,,,37,,,hoCompletionTimeTgtCell,"Time taken for HO to complete on target cell, from end of HO execution to end of path switch acknowledgement. Note: this is ""best effort"" computation on the target cell side - the UE context release on source can obviously not be seen.",ms,Unsigned Integer (32 bit),0,4294967295,211,INTERNAL_PROC_HO_X2_EXEC_OUT INTERNAL_PROC_HO_S1_EXEC_OUT S1_PATH_SWITCH_REQUEST_ACKNOWLEDGE,PATH_SWITCH.STOP - HO_xx_EXEC.STOP ,PATH_SWITCH.STOP - HO_xx_EXEC.STOP ,,,
1,0,1.1,"New event, new field",Enable UE capability analytics,38,,,ueAccessStratumRelease,UE Access Stratum Release,,Unsigned Integer (16 bit),0,14,5,INTERNAL_EVENT_UE_CAPABILITY,EVENT_PARAM_UE_CAP_ASR,EVENT_PARAM_UE_CAP_ASR,,," Basic observability, Session Trace, UE Capability Analytics"
1,0,1.1,"New event, new field",Enable UE capability analytics,39,,,ueCategory,UE Category,,Unsigned Integer (16 bit),0,9,4,INTERNAL_EVENT_UE_CAPABILITY,EVENT_PARAM_UE_CAP_CATEGORY,EVENT_PARAM_UE_CAP_CATEGORY,,," Basic observability, Session Trace, UE Capability Analytics"
2,2,2.0,"New event, new field",Enable UE capability analytics,40,,,ueDRXShortCycleSupport,UE DRX Short Cycle support,,Unsigned Integer (16 bit),0,1,1,INTERNAL_EVENT_UE_CAPABILITY,EVENT_PARAM_UE_CAP_FGI_BITMAP EVENT_PARAM_UE_CAP_FGI_BITMAP_TDD EVENT_PARAM_UE_CAP_FGI_BITMAP_FDD,EVENT_PARAM_UE_CAP_FGI_BITMAP EVENT_PARAM_UE_CAP_FGI_BITMAP_TDD EVENT_PARAM_UE_CAP_FGI_BITMAP_FDD,"IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_TDD = unavailable AND EVENT_PARAM_UE_CAP_FGI_BITMAP_FDD = unavailable) IF (EVENT_PARAM_UE_CAP_FGI_BITMAP[4] = 1) RETURN 0 ELSE RETURN 3
IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_TDD <> unavailable AND EVENT_PARAM_UE_CAP_FGI_BITMAP_TDD[28] = 1) TDD=YES ELSE TDD=NO
IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_FDD <> unavailable AND EVENT_PARAM_UE_CAP_FGI_BITMAP_FDD[28] = 1) FDD=YES ELSE FDD=NO
IF (FDD=YES and TDD=YES) RETURN 0
IF (FDD=NO AND TDD=YES) RETURN 1
IF (FDD=YES AND TDD=NO) RETURN 2
IF (FDD=NO AND TDD=NO) RETURN 3 ",,"UE Capability Analytics, Integrity Analytics"
2,2,1.1,"New event, new field",Enable UE capability analytics,41,,,ueDRXLongCycle_DRXMacCtrlCmd_Support,"UE Long DRX Cycle Support, DRX command MAC control element",,Unsigned Integer (16 bit),0,1,1,INTERNAL_EVENT_UE_CAPABILITY,EVENT_PARAM_UE_CAP_FGI_BITMAP ,EVENT_PARAM_UE_CAP_FGI_BITMAP ,IF (EVENT_PARAM_UE_CAP_FGI_BITMAP[5] = 1 AND EVENT_PARAM_UE_CAP_FGI_BITMAP[5] = 1) THEN 0 ELSE 3,,"UE Capability Analytics, Integrity Analytics"
2,2,2.0,"New event, new field",Enable UE capability analytics,42,,,ueSPSSupport,UE Semi Persistent Scheduling Support,,Unsigned Integer (16 bit),0,3,1,INTERNAL_EVENT_UE_CAPABILITY,EVENT_PARAM_UE_CAP_FGI_BITMAP EVENT_PARAM_UE_CAP_FGI_BITMAP_TDD EVENT_PARAM_UE_CAP_FGI_BITMAP_FDD,EVENT_PARAM_UE_CAP_FGI_BITMAP EVENT_PARAM_UE_CAP_FGI_BITMAP_TDD EVENT_PARAM_UE_CAP_FGI_BITMAP_FDD,"IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_TDD = unavailable AND EVENT_PARAM_UE_CAP_FGI_BITMAP_FDD = unavailable) IF (EVENT_PARAM_UE_CAP_FGI_BITMAP[29] = 1) RETURN 0 ELSE RETURN 3
IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_TDD <> unavailable AND EVENT_PARAM_UE_CAP_FGI_BITMAP_TDD[29] = 1) TDD=YES ELSE TDD=NO
IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_FDD <> unavailable AND EVENT_PARAM_UE_CAP_FGI_BITMAP_FDD[29] = 1) FDD=YES ELSE FDD=NO
IF (FDD=YES and TDD=YES) RETURN 0
IF (FDD=NO AND TDD=YES) RETURN 1
IF (FDD=YES AND TDD=NO) RETURN 2
IF (FDD=NO AND TDD=NO) RETURN 3 ",,"UE Capability Analytics, VoLTE Analytics"
2,2,1.1,"New event, new field",Enable UE capability analytics,43,,,ueMFBISupport,UE MultiFrequency Band Indication Support,,Unsigned Integer (16 bit),0,3,2,INTERNAL_EVENT_UE_CAPABILITY,EVENT_PARAM_UE_CAP_FGI_BITMAP,EVENT_PARAM_UE_CAP_FGI_BITMAP,IF (EVENT_PARAM_UE_CAP_FGI_BITMAP[31] = 1) THEN RETURN 0 ELSE RETURN 3,," Basic observability, Session Trace, UE Capability Analytics"
2,2,1.1,"New event, new field",Enable UE capability analytics,44,,,ueFDDTDDHOSupport,UE FDD and TDD Handover Support,,Unsigned Integer (16 bit),0,3,2,INTERNAL_EVENT_UE_CAPABILITY,EVENT_PARAM_UE_CAP_FGI_BITMAP,EVENT_PARAM_UE_CAP_FGI_BITMAP,IF (EVENT_PARAM_UE_CAP_FGI_BITMAP[30] = 1 AND EVENT_PARAM_UE_CAP_FGI_BITMAP[13] = 1) THEN 0 ELSE 3,," Basic observability, Session Trace, Mobility Analytics"
2,2,1.1,"New event, new field",Enable UE capability analytics,45,,,ueCASupport,UE Carrier Aggregation Support ,,Unsigned Integer (16 bit),0,3,1,INTERNAL_EVENT_UE_CAPABILITY,EVENT_PARAM_UE_CAP_FGI_BITMAP EVENT_PARAM_UE_CAP_FGI_BITMAP_TDD EVENT_PARAM_UE_CAP_FGI_BITMAP_FDD,EVENT_PARAM_UE_CAP_FGI_BITMAP EVENT_PARAM_UE_CAP_FGI_BITMAP_TDD EVENT_PARAM_UE_CAP_FGI_BITMAP_FDD,"IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_3_TDD = unavailable AND EVENT_PARAM_UE_CAP_FGI_BITMAP_3_FDD = unavailable) IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_3[11] = 1) RETURN 0 ELSE RETURN 3
IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_3_TDD <> unavailable AND EVENT_PARAM_UE_CAP_FGI_BITMAP_3_TDD[11] = 1) TDD=YES ELSE TDD=NO
IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_3_FDD <> unavailable AND EVENT_PARAM_UE_CAP_FGI_BITMAP_3_FDD[11] = 1) FDD=YES ELSE FDD=NO
IF (FDD=YES and TDD=YES) RETURN 0
IF (FDD=NO AND TDD=YES) RETURN 1
IF (FDD=YES AND TDD=NO) RETURN 2
IF (FDD=NO AND TDD=NO) RETURN 3 ",," Basic observability, Session Trace, UE Capability Analytics, Carrier Aggregation Analysis"
2,2,1.1,"New event, new field",Enable UE capability analytics,46,,,ueCAAndHOSupport,UE Carrier Aggregation and HO Support,,Unsigned Integer (16 bit),0,3,3,INTERNAL_EVENT_UE_CAPABILITY,EVENT_PARAM_UE_CAP_FGI_BITMAP EVENT_PARAM_UE_CAP_FGI_BITMAP_TDD EVENT_PARAM_UE_CAP_FGI_BITMAP_FDD,EVENT_PARAM_UE_CAP_FGI_BITMAP EVENT_PARAM_UE_CAP_FGI_BITMAP_TDD EVENT_PARAM_UE_CAP_FGI_BITMAP_FDD,"IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_3_TDD = unavailable AND EVENT_PARAM_UE_CAP_FGI_BITMAP_3_FDD = unavailable) IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_3[12] = 1) RETURN 0 ELSE RETURN 3
IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_3_TDD <> unavailable AND EVENT_PARAM_UE_CAP_FGI_BITMAP_3_TDD[12] = 1) TDD=YES ELSE TDD=NO
IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_3_FDD <> unavailable AND EVENT_PARAM_UE_CAP_FGI_BITMAP_3_FDD[12] = 1) FDD=YES ELSE FDD=NO
IF (FDD=YES and TDD=YES) RETURN 0
IF (FDD=NO AND TDD=YES) RETURN 1
IF (FDD=YES AND TDD=NO) RETURN 2
IF (FDD=NO AND TDD=NO) RETURN 3 ",," Basic observability, Session Trace, UE Capability Analytics, Carrier Aggregation Analysis, Mobility Analytics"
2,2,1.1,"New event, new field",Enable UE capability analytics,47,,,ueULCASupport,UE UL Carrier Aggregation Support,,Unsigned Integer (16 bit),0,3,1,INTERNAL_EVENT_UE_CAPABILITY,EVENT_PARAM_UE_CAP_FGI_BITMAP EVENT_PARAM_UE_CAP_FGI_BITMAP_TDD EVENT_PARAM_UE_CAP_FGI_BITMAP_FDD,EVENT_PARAM_UE_CAP_FGI_BITMAP EVENT_PARAM_UE_CAP_FGI_BITMAP_TDD EVENT_PARAM_UE_CAP_FGI_BITMAP_FDD,"IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_3_TDD = unavailable AND EVENT_PARAM_UE_CAP_FGI_BITMAP_3_FDD = unavailable) IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_3[13] = 1) RETURN 0 ELSE RETURN 3
IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_3_TDD <> unavailable AND EVENT_PARAM_UE_CAP_FGI_BITMAP_3_TDD[13] = 1) TDD=YES ELSE TDD=NO
IF (EVENT_PARAM_UE_CAP_FGI_BITMAP_3_FDD <> unavailable AND EVENT_PARAM_UE_CAP_FGI_BITMAP_3_FDD[13] = 1) FDD=YES ELSE FDD=NO
IF (FDD=YES and TDD=YES) RETURN 0
IF (FDD=NO AND TDD=YES) RETURN 1
IF (FDD=YES AND TDD=NO) RETURN 2
IF (FDD=NO AND TDD=NO) RETURN 3 ",," Basic observability, Session Trace, UE Capability Analytics, Carrier Aggregation Analysis"
2,2,1.1,"New event, new field",Enable UE capability analytics,48,,,ueRLCUMSupport,UE RLC UM Support (VoLTE),,Unsigned Integer (16 bit),0,3,2,INTERNAL_EVENT_UE_CAPABILITY,EVENT_PARAM_UE_CAP_FGI_BITMAP,EVENT_PARAM_UE_CAP_FGI_BITMAP,IF (EVENT_PARAM_UE_CAP_FGI_BITMAP[7] = 1) THEN RETURN 0 ELSE RETURN 3,," Basic observability, Session Trace, VoLTE Analytics"
2,2,1.1,"New event, new field",Enable UE capability analytics,49,,,ue5BitRLCUMSN_7BitPDCPSN_Support,UE Support for 5 bit RLC UM SN and 7 bit PDCP SN (VoLTE),,Unsigned Integer (16 bit),0,3,2,INTERNAL_EVENT_UE_CAPABILITY,EVENT_PARAM_UE_CAP_FGI_BITMAP,EVENT_PARAM_UE_CAP_FGI_BITMAP,IF (EVENT_PARAM_UE_CAP_FGI_BITMAP[3] =1 AND EVENT_PARAM_UE_CAP_FGI_BITMAP[7] = 1) THEN RETURN 0 ELSE RETURN 3,," Basic observability, Session Trace, VoLTE Analytics"
2,2,2.0,"New event, new field",Enable UE capability analytics,50,,,ueDRBCombinationSupport,UE Support for DRB Combinations,,Unsigned Integer (16 bit),0,3,1,INTERNAL_EVENT_UE_CAPABILITY,EVENT_PARAM_UE_CAP_FGI_BITMAP,EVENT_PARAM_UE_CAP_FGI_BITMAP,"IF (EVENT_PARAM_UE_CAP_FGI_BITMAP[20] = 0) RETURN 0 IF (EVENT_PARAM_UE_CAP_FGI_BITMAP[7] = 0) THEN RETURN 1 /* SRB1 and SRB2 for DCCH + 8x AM DRB */ ELSE IF (EVENT_PARAM_UE_CAP_FGI_BITMAP[7] = 0) THEN RETURN 2 /* SRB1 and SRB2 for DCCH + 5x AM DRB + 3x UM DRB */ ENDIF
ENDIF",," Basic observability, Session Trace, VoLTE Analytics"
